whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count
10094,131,276,2,32,0,1,0,0,2,0,0,0
-1,1302,526,4,40,8,0,0,0,5,0,0,0
-1,1302,526,4,48,8,1,0,0,5,0,0,0
7660,374,5,3,37,0,0,0,0,1,0,0,0
9005,1950,384,2,23,0,0,0,0,2,0,0,0
1424,401,139,3,31,0,0,0,0,1,0,0,0
9098,1492,1800,4,46,0,0,0,0,1,0,0,0
8012,753,367,2,29,0,0,0,0,2,0,0,0
9333,1622,129,2,21,0,0,0,0,2,0,0,0
9089,1501,483,2,31,0,0,0,0,3,0,0,0
-1,-1,-1,2,23,0,0,0,0,2,0,0,0
8161,604,262,3,46,0,1,0,0,2,0,0,0
-1,-1,-1,4,42,0,1,0,0,2,0,0,0
-1,-1,-1,3,26,0,0,0,0,1,0,0,0
9680,180,1017,3,31,0,0,0,0,1,0,0,0
-1,1174,997,4,36,0,0,0,0,2,0,0,0
9095,399,1530,2,26,0,0,0,0,3,0,0,0
8012,753,367,2,32,0,0,0,0,2,0,0,0
9771,454,79,2,34,3,0,0,0,4,0,0,0
8617,147,221,3,44,0,0,0,0,3,0,0,0
8745,1480,267,3,40,0,0,1,0,1,0,0,0
10122,103,276,2,22,0,0,0,0,2,0,0,0
8400,365,87,4,51,1,3,1,0,2,0,0,0
9578,1745,731,3,41,7,0,0,0,3,0,0,0
8941,1649,236,2,35,0,0,2,0,2,0,0,0
7612,1518,414,3,41,0,1,1,0,2,0,0,0
8632,132,595,2,26,0,0,0,0,2,0,0,0
8617,147,221,2,27,0,0,0,0,3,0,0,0
1856,334,266,3,36,0,0,0,0,1,0,0,0
8913,947,1243,3,33,0,0,0,0,1,0,0,0
9063,797,358,3,31,0,0,0,0,1,0,0,0
8617,147,221,2,35,0,0,0,0,3,0,0,0
-1,-1,-1,3,47,0,0,1,0,3,0,0,0
8617,147,221,3,41,1,0,0,0,3,0,0,0
8312,2645,715,3,51,0,1,0,0,1,0,0,0
9940,1383,372,2,40,0,0,1,0,2,0,0,0
8834,315,-1,3,33,0,0,0,0,2,0,0,0
7603,66,328,3,25,0,0,1,0,1,0,0,0
9358,136,260,3,49,0,0,0,0,3,0,0,0
9346,513,897,3,43,1,2,1,0,2,0,0,0
9002,127,241,2,28,0,0,0,0,1,0,0,0
-1,-1,-1,3,32,0,0,0,0,2,0,0,0
8617,147,221,3,39,1,0,0,0,3,0,0,0
9535,326,35,2,28,0,0,0,0,2,0,0,0
-1,-1,-1,3,38,0,0,0,0,2,0,0,0
8617,147,221,2,32,1,0,0,0,3,0,0,0
-1,-1,-1,3,28,1,0,1,0,1,0,0,0
-1,-1,-1,3,30,0,0,0,0,2,0,0,0
8071,328,36,2,48,0,0,0,0,2,0,0,0
8949,1276,2040,3,31,0,0,0,0,1,0,0,0
8617,147,221,2,35,0,0,0,0,3,0,0,0
8617,147,221,2,25,0,0,0,0,3,0,0,0
-1,-1,-1,2,31,3,0,0,0,3,0,0,0
8891,238,198,3,27,0,0,0,0,1,0,0,0
-1,-1,-1,4,34,0,0,0,0,2,0,0,0
-1,-1,1942,2,23,0,0,0,0,2,0,0,0
8872,3544,71,4,38,2,0,0,0,1,0,0,0
8284,1212,859,2,33,0,0,1,0,2,0,0,0
-1,-1,-1,2,24,0,1,0,0,2,0,0,0
-1,-1,-1,3,29,0,0,0,0,2,0,0,0
10384,206,476,3,53,7,2,0,0,3,0,0,0
-1,-1,-1,4,38,0,0,0,0,2,0,0,0
10548,42,323,3,84,6,1,0,0,5,0,0,0
10081,509,262,3,42,8,2,1,0,2,0,0,0
7871,274,24,5,37,0,0,0,0,2,0,0,0
9983,244,71,2,41,0,0,0,0,2,0,0,0
-1,-1,-1,2,16,4,0,0,0,2,0,0,0
-1,-1,-1,4,33,0,0,0,0,3,0,0,0
-1,-1,-1,3,35,0,1,0,0,1,0,0,0
-1,-1,-1,3,23,0,0,0,0,2,0,0,0
10536,785,1436,3,48,11,0,0,0,5,0,0,0
-1,-1,-1,2,24,0,0,0,0,3,0,0,0
-1,-1,-1,1,19,0,0,0,0,2,0,0,0
-1,-1,-1,2,18,0,0,0,0,1,0,0,0
-1,-1,-1,3,21,0,0,0,0,1,0,0,0
8918,211,261,3,38,0,1,0,0,2,0,0,0
5790,53,302,3,28,1,0,0,0,1,0,0,0
-1,-1,-1,3,36,1,0,1,0,2,0,0,0
-1,-1,1942,3,42,0,1,0,0,3,0,0,0
9606,256,115,2,26,0,0,0,0,2,0,0,0
8632,132,236,2,31,0,0,0,0,2,0,0,0
-1,-1,-1,4,34,0,0,0,0,2,0,0,0
8877,252,170,2,28,0,0,0,0,1,0,0,0
9145,1082,37,3,42,0,0,0,0,3,0,0,0
8333,67,325,2,28,0,0,0,0,1,0,0,0
8469,662,100,2,38,1,0,0,0,3,0,0,0
-1,-1,-1,3,21,0,0,0,0,2,0,0,0
8450,315,53,3,28,0,2,0,0,1,0,0,0
8450,315,53,3,31,0,2,0,0,1,0,0,0
148,581,42,3,40,0,0,2,0,1,0,0,0
9508,353,138,1,25,0,0,0,0,1,0,0,0
9843,1478,427,3,29,0,0,0,0,2,0,0,0
5508,-1,29,3,35,0,0,0,0,2,0,0,0
7816,219,-1,3,33,0,0,0,0,2,0,0,0
8617,147,221,2,25,0,0,0,0,3,0,0,0
8617,147,221,3,41,0,0,0,0,3,0,0,0
8400,304,60,3,35,0,0,1,0,1,0,0,0
9092,1863,152,2,20,0,0,0,0,2,0,0,0
7827,207,160,2,28,0,0,0,0,2,0,0,0
9997,228,165,2,36,0,0,0,0,2,0,0,0
7387,282,140,2,24,0,0,0,0,1,0,0,0
8840,1750,1543,2,23,0,0,0,0,1,0,0,0
8840,1750,1543,2,25,0,0,0,0,1,0,0,0
8840,1750,1543,2,23,0,0,0,0,1,0,0,0
8840,1750,1543,2,26,0,0,0,0,1,0,0,0
8840,1750,1543,2,25,0,0,0,0,1,0,0,0
8840,1750,1543,2,25,0,0,0,0,1,0,0,0
8840,1750,1543,2,29,0,0,0,0,1,0,0,0
8840,1750,1543,2,20,0,0,0,0,1,0,0,0
8840,1750,1543,2,21,0,0,0,0,1,0,0,0
8840,1750,1543,2,26,0,0,0,0,1,0,0,0
8840,1750,1543,2,20,0,0,0,0,1,0,0,0
8840,1750,1543,2,29,0,0,0,0,1,0,0,0
8840,1750,1543,2,27,0,0,0,0,1,0,0,0
8840,1750,1543,2,26,0,0,0,0,1,0,0,0
8840,1750,1543,2,26,0,0,0,0,1,0,0,0
8840,1750,1543,2,31,0,0,0,0,1,0,0,0
8840,1750,1543,2,24,0,0,0,0,1,0,0,0
8617,147,221,2,35,1,0,0,0,3,0,0,0
5250,228,93,2,24,0,0,0,0,1,0,0,0
8211,189,544,1,32,0,0,0,0,2,0,0,0
8211,189,544,1,27,0,0,0,0,2,0,0,0
8211,189,544,1,27,0,0,0,0,2,0,0,0
8211,189,544,2,38,0,0,0,0,2,0,0,0
8211,189,544,1,30,0,0,0,0,2,0,0,0
8211,189,544,1,29,0,0,0,0,2,0,0,0
8211,189,544,1,34,0,0,0,0,2,0,0,0
8211,189,544,1,29,0,0,0,0,2,0,0,0
8211,189,544,1,42,0,0,0,0,2,0,0,0
8211,189,544,1,29,0,0,0,0,2,0,0,0
8211,189,544,1,32,0,0,0,0,2,0,0,0
581,513,264,3,26,0,0,0,0,1,0,0,0
8610,154,210,3,39,0,0,0,0,1,0,0,0
11815,236,497,3,63,0,2,0,0,5,0,0,0
1646,544,263,2,30,0,1,0,0,1,0,0,0
-1,-1,-1,3,31,0,0,0,0,2,0,0,0
8770,725,426,2,41,0,2,0,0,2,0,0,0
9018,1207,162,2,31,0,0,0,0,1,0,0,0
9885,342,542,3,33,0,0,0,0,2,0,0,0
9170,692,12,3,23,0,0,0,0,1,0,0,0
8232,168,195,3,29,0,0,0,0,1,0,0,0
10411,179,214,2,32,0,0,0,0,2,0,0,0
-1,-1,-1,2,23,0,0,0,0,2,0,0,0
87,276,87,3,31,1,1,0,0,1,0,0,0
-1,-1,-1,3,26,4,0,0,0,2,0,0,0
-1,-1,-1,3,30,0,1,0,0,1,0,0,0
8869,625,1597,2,22,0,0,0,0,2,0,0,0
8455,676,1087,2,36,0,0,0,0,2,0,0,0
8994,866,204,2,26,0,0,0,0,2,0,0,0
7288,16,348,2,27,0,0,0,0,2,0,0,0
9885,224,93,2,18,0,0,0,0,2,0,0,0
9767,93,342,3,33,0,0,0,0,2,0,0,0
630,-1,316,4,42,0,0,0,0,2,0,0,0
7897,579,1625,2,24,0,0,0,0,2,0,0,0
7513,156,208,2,36,0,0,0,0,2,0,0,0
9180,316,80,2,24,0,0,0,0,2,0,0,0
7912,102,291,2,27,0,0,0,0,2,0,0,0
9002,127,241,2,43,0,0,0,0,2,0,0,0
9481,13,297,3,36,0,0,0,0,2,0,0,0
-1,-1,-1,3,36,1,0,0,0,5,0,0,0
-1,-1,-1,2,25,0,0,1,0,2,0,0,0
329,35,328,3,26,0,0,0,0,1,0,0,0
8693,71,323,3,41,0,0,0,0,2,0,0,0
6807,132,233,2,26,0,0,0,0,2,0,0,0
11430,258,110,2,23,0,0,0,0,2,0,0,0
-1,-1,-1,4,35,0,0,0,0,2,0,0,0
-1,-1,-1,3,27,0,0,0,0,4,0,0,0
-1,-1,-1,4,43,2,0,0,0,4,0,0,0
8996,224,180,2,25,0,0,0,0,2,0,0,0
4624,123,272,3,38,0,0,0,0,2,0,0,0
8032,367,59,3,29,0,0,0,0,1,0,0,0
-1,-1,-1,3,28,0,0,0,0,1,0,0,0
8319,81,282,3,39,0,0,0,0,2,0,0,0
10094,131,276,3,39,0,0,0,0,1,0,0,0
-1,-1,-1,3,20,0,0,0,0,2,0,0,0
10209,16,352,2,26,0,0,0,0,2,0,0,0
8030,368,2,3,23,0,0,0,0,2,0,0,0
9636,2050,85,1,18,0,0,0,0,2,0,0,0
9652,2400,885,2,26,0,0,0,0,2,0,0,0
9506,355,16,3,38,0,1,0,0,2,0,0,0
-1,-1,-1,4,39,0,0,1,0,1,0,0,0
8560,204,159,3,54,3,2,0,0,1,0,0,0
10209,16,352,2,35,0,0,0,0,2,0,0,0
-1,-1,-1,1,23,0,0,0,0,2,0,0,0
-1,381,-1,4,39,3,2,0,0,2,0,0,0
-1,1174,997,4,31,0,0,0,0,2,0,0,0
9542,319,44,3,28,0,0,1,0,1,0,0,0
9073,1517,368,2,31,0,0,0,0,2,0,0,0
